umap1,umap2,timestep
17.711512,13.189631,0
17.357752,13.359789,1
17.476526,13.309694,2
17.76191,13.2754345,3
17.74361,13.226252,4
17.698128,13.233158,5
17.802597,13.298758,6
17.686882,13.284317,7
17.583664,13.158543,8
17.71641,13.258876,9
17.490173,13.269588,10
17.464613,13.045614,11
17.492723,13.17448,12
17.686373,13.164998,13
17.47066,13.270994,14
17.601755,13.078427,15
17.739428,13.06263,16
17.661049,12.951389,17
17.470646,13.142493,18
17.616411,13.24807,19
17.51743,13.185335,20
17.697933,12.99735,21
17.414444,13.099476,22
17.720816,12.968504,23
17.546284,12.947372,24
17.513659,13.054307,25
17.35611,13.224978,26
17.562195,12.86965,27
17.674704,12.954315,28
17.458193,13.016931,29
17.621313,13.09935,30
17.472357,13.408846,31
17.522406,13.374099,32
17.409101,13.37434,33
17.676115,13.1965065,34
17.525269,13.050051,35
17.61667,13.233155,36
17.64135,13.389121,37
17.69905,13.314227,38
17.487087,13.095158,39
17.385145,12.841684,40
17.539263,12.8891945,41
17.533201,12.933304,42
17.634056,12.773403,43
17.524681,12.966982,44
17.546265,13.085838,45
17.337948,13.150152,46
17.591076,12.735144,47
17.245432,13.218663,48
17.4134,13.1591625,49
17.393583,13.281459,50
17.27811,13.323334,51
17.332464,13.17563,52
17.474237,13.224911,53
17.400255,13.312697,54
17.517048,13.433984,55
17.436834,13.370679,56
17.62428,13.252697,57
17.529922,13.194437,58
17.539694,13.2109785,59
17.473753,13.270301,60
17.66396,12.965232,61
17.444672,13.20893,62
17.38715,13.148838,63
17.286394,13.220219,64
17.374855,13.158388,65
17.34116,13.185173,66
17.58663,13.280442,67
17.318499,12.912793,68
17.409304,13.229306,69
17.553835,13.169359,70
17.382404,13.161665,71
17.224638,13.17425,72
17.266039,13.038141,73
17.244741,13.155859,74
17.364376,13.180536,75
17.647684,13.099026,76
17.511284,13.082001,77
17.469452,13.338329,78
17.390753,13.18632,79
17.318947,13.190458,80
17.77899,13.477037,81
17.5509,13.2492485,82
17.700193,13.305337,83
17.375671,13.378269,84
17.647322,13.210437,85
17.608166,13.305647,86
17.4673,13.033317,87
17.670443,12.876941,88
17.542288,13.196403,89
17.579657,13.272479,90
17.249645,13.307155,91
17.52953,13.134853,92
17.580153,12.999448,93
17.471535,13.185505,94
17.780405,12.69383,95
17.81701,13.23032,96
17.299166,13.216348,97
17.324635,13.360293,98
17.354008,13.148485,99
17.430113,13.236301,100
17.46741,13.303615,101
17.570644,13.308519,102
17.415567,13.423079,103
17.280165,13.00428,104
17.390598,12.976465,105
17.40132,13.341289,106
17.578356,13.306433,107
17.787712,13.072572,108
17.722458,13.306504,109
17.789682,13.221983,110
17.86257,13.23005,111
17.720236,13.277741,112
17.452234,13.39521,113
17.940943,13.26429,114
17.94423,13.303448,115
18.137651,13.167039,116
17.963842,13.169305,117
18.070019,13.276869,118
17.828093,13.374709,119
18.278196,13.10809,120
18.50271,12.998036,121
18.262253,13.07038,122
18.323313,13.014565,123
18.22898,13.143816,124
18.310503,13.19837,125
18.25977,13.11561,126
18.321459,13.03863,127
18.362143,13.106041,128
18.358866,13.092769,129
18.001951,13.166018,130
18.446274,13.084481,131
18.358925,13.063965,132
18.508915,13.083231,133
18.026077,13.199789,134
18.082443,13.219243,135
18.152138,13.256593,136
18.42907,13.095947,137
18.409933,13.104931,138
18.381521,13.101223,139
18.29933,13.181716,140
18.341858,13.095836,141
18.456425,13.130068,142
18.635622,13.101312,143
18.614313,13.0706005,144
18.46899,13.085571,145
18.390919,13.165651,146
18.368652,13.079385,147
18.348639,13.000689,148
18.55257,13.0678,149
18.307661,13.118605,150
18.5602,13.0779,151
18.410803,13.099034,152
18.206411,13.004471,153
18.51097,13.069371,154
18.236496,12.992311,155
18.34141,13.089395,156
18.63855,13.047949,157
18.541058,13.091034,158
18.579746,13.097854,159
18.46222,13.061192,160
18.528368,13.079082,161
18.64201,13.063473,162
18.4386,13.001767,163
18.352022,13.057834,164
18.541786,13.034068,165
18.469683,13.023498,166
18.459938,13.075498,167
18.511086,13.089038,168
18.501469,13.00183,169
18.416986,13.064705,170
18.580767,13.10637,171
18.637686,13.012352,172
18.496513,13.078965,173
18.4436,12.905179,174
18.395082,12.894096,175
18.533482,12.910995,176
18.462288,13.03661,177
18.455496,13.008054,178
18.5151,13.077528,179
18.500948,13.048796,180
18.434174,13.012242,181
18.512754,13.07602,182
18.646252,13.062846,183
18.654268,13.061717,184
18.703033,13.041308,185
18.62612,13.064327,186
18.611687,13.057976,187
18.629562,13.051705,188
18.62868,13.066786,189
18.639658,13.145066,190
18.606804,13.028112,191
18.71968,13.063463,192
18.73385,13.043343,193
18.468014,12.984609,194
18.614695,12.971112,195
18.541992,12.990043,196
18.599382,13.113199,197
18.697657,13.051594,198
18.61665,13.051682,199
18.68896,13.086288,200
18.706194,13.0584135,201
18.667704,13.084722,202
18.78806,13.046561,203
18.665962,13.076784,204
18.731653,13.046571,205
18.712341,13.054186,206
18.71212,13.043597,207
18.699776,13.071755,208
18.6681,13.000592,209
18.772493,13.08909,210
18.7694,13.043096,211
18.609528,13.076591,212
18.677345,13.069358,213
18.739399,13.035929,214
18.683718,13.056413,215
18.710382,13.070193,216
18.683804,13.046381,217
18.619291,13.049165,218
18.654203,13.078361,219
18.753763,13.114432,220
18.762442,13.053533,221
18.814497,13.074126,222
18.797958,12.993383,223
18.55572,13.005632,224
18.756063,13.022446,225
18.735552,13.017974,226
18.724855,13.0250635,227
18.788706,12.985435,228
18.69708,13.031327,229
18.579218,13.142882,230
18.781872,13.051893,231
18.75191,13.065881,232
18.62912,13.085897,233
18.624697,13.09191,234
18.791739,13.096001,235
18.50975,13.066828,236
18.484396,12.964551,237
18.704653,13.0591345,238
18.536974,12.964805,239
18.494425,13.083038,240
17.95924,13.264429,241
17.340815,13.258017,242
17.14551,13.107592,243
17.286497,13.112164,244
17.544102,12.912182,245
17.371046,12.767321,246
17.523869,12.918464,247
17.649834,13.007032,248
17.68262,12.727605,249
17.637056,13.333916,250
17.944214,12.98478,251
17.87815,13.230448,252
17.91829,13.327053,253
18.22032,13.132073,254
18.145716,13.263908,255
